113693528,"Vardeveien  15 A, Drøbak",120 m²,"8 590 000,-"
114483290,"Randemsletta 19, Vestby",138 m²,"4 050 000,-"
114477491,"Bråtenlia 9D, Auli",58 m²,"2 150 000,-"
107667922,"Ødegårds vei 10, Lørenskog",53 m²,"3 950 000,-"
114461837,"Lomviveien 2, Fornebu",63 m²,"5 900 000,-"
109697484,"Åråsveien 31 A, Kjeller",67 m²,"2 900 000,-"
114444399,"Bråtenveien 6A, Fetsund",184 m²,"4 690 000,-"
114457161,"Tomtabakken 4B, Fetsund",133 m²,"5 250 000,-"
114456830,"Skoglundvegen 25, Sørum",179 m²,"3 700 000,-"
114204680,"Kalderaveien 5, Eiksmarka",92 m²,"5 990 000,-"
114414356,"Grenåveien 40, Drøbak",78 m²,"3 250 000,-"
114446608,"Jon Smørs vei 7 A + 7 B, Nesøya",192 - 322 m²,"13 900 000 - 22 500 000,-"
114446975,"Strandvegen 1  A02-6, Rælingen",80 m²,"5 490 000,-"
114446626,"Fjellsetveien 113, Skedsmokorset",86 m²,"2 500 000,-"
114446512,"Faldalsveien 1, Fetsund",68 m²,"3 250 000,-"
114445562,"Jon Smørs vei 7 C, Nesøya",257 m²,"13 000 000,-"
102411288,"Ødegårds Vei 3, Lørenskog",33 m²,"2 590 000,-"
114445149,"Oppløpsiden 6A, Jessheim",43 m²,"2 450 000,-"
114441327,"Løvenstadtorget 7, Løvenstad",72 m²,"2 750 000,-"
114441521,"Flakstadvegen 212, Auli",152 m²,"2 990 000,-"
114439743,"Teievegen 27, Råholt",153 m²,"3 350 000,-"
113789659,"Rastaveien 16, Rasta",181 m²,"8 200 000,-"
114438516,"Lysaker Brygge 9, Lysaker",54 m²,"4 600 000,-"
106262565,"Lagdalen 55, Vettre",100 m²,"5 090 000,-"
114203420,"Åsheimveien 130, Rasta",121 m²,"5 500 000,-"
113348800,"Øvre Toppenhaug 122, Bærums Verk",132 m²,"5 390 000,-"
114433501,"Støperiveien 67, Strømmen",35 m²,"3 290 000,-"
109028117,"Landskronaveien 369, Skjetten",126 m²,"4 270 000,-"
114431511,"Lundkvartalet, Lillestrøm",42 m²,"3 350 000,-"
114430690,"Søster Mathildes gate 19, Rasta",45 m²,"1 390 000,-"
114428622,"NABBEN 5, Oppaker",143 m²,"4 190 000,-"
114238551,"Nøtteskrikevegen 4 E, Maura",71 m²,"2 350 000,-"
114422359,"Sangsvanelia 24 D, Maura",80 m²,"3 060 000,-"
