id, finn_id, address, price, sq_m
1, 115282737, Ovenbakken 23 A, Østerås, 4350000, 81
2, 116149915, Njordvei 16, Haslum, 13200000, 118
3, 116141552, Oksenøyveien 37, Lysaker, 5250000, 86
4, 108855365, Solliveien 9 C, Asker, 8490000, 215
5, 116118464, Rosenvangvegen 7, Mogreina, 3350000, 133
6, 116108178, Margarethas vei 1, Lørenskog, 2250000, 35
7, 116069241, Hovinbakken 43, Fetsund, 3400000, 104
8, 116039718, Gamle Hellvik vei 71, Nesodden, 5500000, 129
9, 116067943, Øvre Ryensvei  49 B, Skjetten, 5990000, 179
10, 108775450, Sekstanten, Hvam, 4398000, 129
11, 61250198, Bekkefaret, Jessheim, 4000000, 97
12, 113801156, STATSRÅDVEGEN 1, Eidsvoll Verk, 9560000, 240
13, 116008030, Feltspatvegen 48, Fjerdingby, 6200000, 174
14, 116082228, Hølandsveien 181, Gan, 1900000, 124
15, 116082272, Blystadringen 12 C, Blystadlia, 2500000, 61
16, 108299637, Grevlingvegen 1, Blystadlia, 2700000, 59
17, 115318139, Skiveien 12, Kolbotn, 10900000, 272
18, 116059198, Søster Mathildes gate 5, Rasta, 2600000, 47
19, 116069860, Godtland 27C, Kløfta, 5250000, 203
20, 112753640, Bråtejordet, Strømmen, 7690000, 148
21, 115923401, Blystadringen 12 D, Blystadlia, 2700000, 67
22, 114153890, Korshagen 3, Skedsmokorset, 3500000, 69
23, 116066574, Morkelveien 35 B, Rasta, 2450000, 64
24, 116066527, Jeppedalsvegen 16 A, Hurdal, 2650000, 70
25, 116066444, Gamleveien 88 C, Rasta, 1950000, 63
26, 114564565, Bjørkeveien 33, Ås, 3990000, 78
27, 116066009, Konglungveien 208, Vettre, 12500000, 141
28, 116063533, Granhaugsvingen 23 B, Råholt, 3750000, 131
29, 116061485, Mosvingen 34 a og b- 36 a og b, Dal, 4350000, 137
30, 109568989, Skyttafaret 2 B, Hagan, 7200000, 152
31, 116061192, Mosvingen 34 b, Dal, 4350000, 137
32, 116060999, Gamle Strømsvei 100E, Strømmen, 5500000, 147
33, 115996714, Lundekroken 18, Billingstad, 3450000, 54
34, 116060365, Kulturhusgata 23, Lørenskog, 3900000, 64
35, 116059937, Tyttebærstubben 9 B, Åsgreina, 4250000, 141
36, 116059621, Reverudåsen 90 B, Slependen, 4300000, 79
37, 116058789, Hilton 152D, Kløfta, 3300000, 118
38, 116056699, Siggerudbråtan 85, Eidsvoll, 3298000, 89
39, 116057983, Bjørkeveien 7b, Bjørkelangen, 1650000, 62
40, 116057963, Tverrvegen 4, Sørumsand, 2850000, 54
41, 116057944, Tverrvegen 4, Sørumsand, 2400000, 47
42, 116055391, Dampsagveien 9, Lillestrøm, 2780000, 51
43, 116052507, Morkvegen 43 C, Eidsvoll, 2590000, 67
