87950916,"Parkalleèn 2-4, Lillestrøm",57 - 95 m²,"4 050 000 - 7 150 000,-"
112502719,"Vøyenengtunet 18, Vøyenenga",71 m²,"3 890 000,-"
114218965,"Havreveien 7, Aurskog",77 m²,"2 690 000,-"
113542144,"Siggerudbråtan 53, Eidsvoll",124 m²,"4 200 000,-"
114213110,"Landåsveien 3, Ås",214 m²,"8 200 000,-"
114192879,"Vittenbergveien 41, Fjellhamar",37 m²,"2 000 000,-"
114202991,"Kniplia 27, Gjerdrum",128 m²,"5 190 000,-"
114202443,"Riihimäkiveien 5, Skjetten",83 m²,"3 050 000,-"
114199239,"Parkodden snr. 118, Strømmen",46 m²,"2 990 000,-"
114197994,"Hestehovstien 13D, Jessheim",90 m²,"2 950 000,-"
114133078,"Kitty Kiellands vei 21 B, Haslum",128 m²,"5 650 000,-"
113768244,"Myrveien 30c, Nesøya",131 m²,"5 990 000,-"
114186488,"Festningsåsen Terrasse Blokk 2, Bjørkelangen",51 - 94 m²,"2 420 000 - 4 450 000,-"
114194009,"Heggveien 32, Ås",45 m²,"3 050 000,-"
114193279,"Hvetevegen 39, Nordkisa",81 m²,"3 170 000,-"
114192441,"Sangsvanelia 24 D, Maura",80 m²,"3 080 000,-"
113688348,"Åsvegen 726, Nannestad",202 m²,"3 300 000,-"
114070519,"Nedre Kjellerstuvei 11, Kjeller",204 m²,"9 490 000 - 9 990 000,-"
114183665,"Mauritz Hansens vei 72, Skjetten",48 m²,"2 650 000,-"
104435668,"Fornebuporten B2,  leil. C-202 - Salg av kontraktposisjon, Lysaker",51 m²,"4 500 000,-"
114175302,"Idretten 16, Jessheim",52 m²,"2 990 000,-"
106339097,"Sole Allé 12, Vestby",82 m²,"3 790 000,-"
114128508,"Tyttebærstubben 3 B, Åsgreina",157 m²,"4 490 000,-"
112257325,"Tærudvegen 118 F-K (Solbakken Panorama), Eidsvoll Verk",156 m²,"5 390 000 - 5 690 000,-"
61250198,"Bekkefaret, Jessheim",97 m²,"4 000 000,-"
108775450,"Sekstanten, Hvam",129 m²,"4 398 000,-"
106690796,"Drognesveien, Årnes",116 m²,"4 090 000 - 4 190 000,-"
108766320,"Sekstanten, Hvam",90 m²,"3 898 000 - 3 948 000,-"
108764178,"Sekstanten, Hvam",90 m²,"3 598 000 - 3 648 000,-"
87979877,"Øvre Neskollen Panorama, Hvam",77 m²,"3 150 000 - 3 300 000,-"
98825127,"Smedstuvegen, Nannestad",55 - 72 m²,"2 790 000 - 3 090 000,-"
94905590,"Tyttebærveien, Bjørkelangen",64 m²,"2 475 000 - 2 525 000,-"
112287505,"Grevlingvegen 7, Nannestad",188 m²,"3 990 000,-"
114153215,"Skoglia A201 NY, Nittedal",59 m²,"3 200 000,-"
114151766,"Gamle Gardermoveg 36G, Jessheim",110 m²,"3 750 000,-"
105555061,"Melnesveien 15, Enebakkneset",151 m²,"3 550 000,-"
114136228,"LYSAKER BRYGGE 12, Lysaker",97 m²,"7 290 000,-"
114137009,"Glomma terrasse 9 B, Årnes",114 m²,"3 550 000,-"
114135355,"Haugergrenda 22, Kolsås",115 m²,"4 900 000,-"
114131775,"Klapputveien 507, Hemnes",188 m²,"4 750 000,-"
114129754,"Skolsegglia 20, Skedsmokorset",60 m²,"2 990 000,-"
86516549,"Bondilia, Asker",81 m²,"7 290 000,-"
112886981,"Hønskogen 23, Asker",154 m²,"6 190 000,-"
108021433,"Heggesnaret 19C, Haslum",117 m²,"5 320 000,-"
89385985,"Brustadsletta 17, Hurdal",78 m²,"2 450 000,-"
106644118,"Drognesveien, Årnes",116 m²,"3 790 000 - 4 050 000,-"
112181755,"GRANÅSEN, Fetsund",133 - 135 m²,"5 590 000 - 5 890 000,-"
76443548,"Thurmannskogen hus F, Rasta",82 m²,"4 500 000,-"
106619865,"Drognesveien, Årnes",122 m²,"4 250 000,-"
112196195,"Losbyveien 1, Finstadjordet",41 - 106 m²,"2 650 000 - 7 100 000,-"
66455490,"ASTRIDS VEI 3, Lørenskog",88 - 122 m²,"4 880 000 - 9 980 000,-"
87950916,"Parkalleèn 2-4, Lillestrøm",57 - 95 m²,"4 050 000 - 7 150 000,-"
